,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,SalePrice,count_of_porch,sum_of_area_porch,PC_added,Total_flor_SF
0,60,RL,65.0,8450,Noune,Reg,Lvl,Inside,Gtl,CollgCr,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,0,1710,1,0,2,1,3,1,Gd,8,0,Noune,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,Noune,Noune,0,WD,Normal,12.24769911637256,1,61,0.648883842509738,1710
1,20,RL,80.0,9600,Noune,Reg,Lvl,FR2,Gtl,Veenker,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,Noune,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,0,1262,0,1,2,0,3,1,TA,6,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,Noune,Noune,0,WD,Normal,12.109016442313738,0,0,1.349609912008328,1262
2,60,RL,68.0,11250,Noune,IR1,Lvl,Inside,Gtl,CollgCr,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,0,1786,1,0,2,1,3,1,Gd,6,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,Noune,Noune,0,WD,Normal,12.317171167298682,1,42,0.03453173511261839,1786
3,70,RL,60.0,9550,Noune,IR1,Lvl,Corner,Gtl,Crawfor,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,Noune,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,GasA,Gd,Y,SBrkr,0,1717,1,0,1,0,3,1,Gd,7,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,Noune,Noune,0,WD,Abnorml,11.849404844423074,2,307,-0.6900297883352707,1717
4,60,RL,84.0,14260,Noune,IR1,Lvl,FR2,Gtl,NoRidge,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,0,2198,1,0,2,1,4,1,Gd,9,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,Noune,Noune,0,WD,Normal,12.429220196836383,1,84,0.4732151184058423,2198
5,50,RL,85.0,14115,Noune,IR1,Lvl,Inside,Gtl,Mitchel,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,TA,TA,Wood,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,0,1362,1,0,1,1,1,1,TA,5,0,Noune,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,MnPrv,Shed,700,WD,Normal,11.870606902224587,2,350,0.7278486062143822,1362
6,20,RL,75.0,10084,Noune,Reg,Lvl,Inside,Gtl,Somerst,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,0,1694,1,0,2,0,3,1,Gd,7,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,Noune,Noune,0,WD,Normal,12.634606283893019,1,57,2.376263055746891,1694
7,60,RL,81.28888888888889,10382,Noune,IR1,Lvl,Corner,Gtl,NWAmes,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,GasA,Ex,Y,SBrkr,0,2090,1,0,2,1,3,1,TA,7,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,Noune,Shed,350,WD,Normal,12.206077645517674,2,432,1.11011488716009,2090
8,50,RM,51.0,6120,Noune,Reg,Lvl,Inside,Gtl,OldTown,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,Noune,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,FuseF,0,1774,0,0,2,0,2,2,TA,8,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,Noune,Noune,0,WD,Abnorml,11.774527900858468,1,205,-1.3093620256846294,1774
9,190,RL,50.0,7420,Noune,Reg,Lvl,Corner,Gtl,BrkSide,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,Noune,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,0,1077,1,0,1,0,2,2,TA,5,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,Noune,Noune,0,WD,Normal,11.678448377988165,1,4,1.0323090108620097,1077
10,20,RL,70.0,11200,Noune,Reg,Lvl,Inside,Gtl,Sawyer,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,Noune,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,0,1040,1,0,1,0,3,1,TA,5,0,Noune,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,Noune,Noune,0,WD,Normal,11.771443882099637,0,0,1.178013797465513,1040
11,60,RL,85.0,11924,Noune,IR1,Lvl,Inside,Gtl,NridgHt,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,0,2324,1,0,3,0,4,1,Ex,11,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,147,Noune,Noune,0,New,Partial,12.75130259456002,1,21,1.4153058847639801,2324
12,20,RL,74.4375,12968,Noune,IR2,Lvl,Inside,Gtl,Sawyer,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,Noune,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,0,912,1,0,1,0,2,1,TA,4,0,Noune,Detchd,1962.0,Unf,1,352,TA,TA,Y,140,Noune,Noune,0,WD,Normal,11.87757552297847,1,176,0.7275661941132071,912
13,20,RL,91.0,10652,Noune,IR1,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,0,1494,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,2006.0,RFn,3,840,TA,TA,Y,160,Noune,Noune,0,New,Partial,12.540761149388421,1,33,-1.3750961212724893,1494
14,20,RL,76.46236559139786,10920,Noune,IR1,Lvl,Corner,Gtl,NAmes,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,SBrkr,0,1253,1,0,1,1,2,1,TA,5,1,Fa,Attchd,1960.0,RFn,1,352,TA,TA,Y,0,GdWo,Noune,0,WD,Normal,11.964007453736912,2,389,0.6751805912000262,1253
15,45,RM,51.0,6120,Noune,Reg,Lvl,Corner,Gtl,BrkSide,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,Noune,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseA,0,854,0,0,1,0,2,1,TA,5,0,Noune,Detchd,1991.0,Unf,2,576,TA,TA,Y,48,GdPrv,Noune,0,WD,Normal,11.790564777297387,1,112,-1.2948083513847344,854
16,20,RL,76.46236559139786,11241,Noune,IR1,Lvl,CulDSac,Gtl,NAmes,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,0,1004,1,0,1,0,2,1,TA,5,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,0,Noune,Shed,700,WD,Normal,11.91170829631447,0,0,0.278009133988541,1004
17,90,RL,72.0,10791,Noune,Reg,Lvl,Inside,Gtl,Sawyer,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,Noune,0.0,TA,TA,Slab,Noune,Noune,Noune,Noune,Noune,GasA,TA,Y,SBrkr,0,1296,0,0,2,0,2,2,TA,6,0,Noune,CarPort,1967.0,Unf,2,516,TA,TA,Y,0,Noune,Shed,500,WD,Normal,11.407576060361786,0,0,-1.1939028762387944,1296
18,20,RL,66.0,13695,Noune,Reg,Lvl,Inside,Gtl,SawyerW,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,TA,TA,PConc,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,0,1114,1,0,1,1,3,1,Gd,6,0,Noune,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,Noune,Noune,0,WD,Normal,11.976665770490767,1,102,0.4521597661002792,1114
19,20,RL,70.0,7560,Noune,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,Noune,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,0,1339,0,0,1,0,3,1,TA,6,0,Noune,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,MnPrv,Noune,0,COD,Abnorml,11.842236406331555,0,0,0.07094225062295223,1339
20,60,RL,101.0,14215,Noune,IR1,Lvl,Corner,Gtl,NridgHt,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,0,2376,0,0,3,1,4,1,Gd,9,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,240,Noune,Noune,0,New,Partial,12.692506186542177,1,154,-1.3343458332327829,2376
21,45,RM,57.0,7449,Grvl,Reg,Bnk,Inside,Gtl,IDOTRR,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,Noune,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseF,0,1108,0,0,1,0,3,1,Gd,6,1,Gd,Attchd,1930.0,Unf,1,280,TA,TA,N,0,GdPrv,Noune,0,WD,Normal,11.845109950883979,1,205,-1.2711586306474048,1108
22,20,RL,75.0,9742,Noune,Reg,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,0,1795,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,2002.0,RFn,2,534,TA,TA,Y,171,Noune,Noune,0,WD,Normal,12.345838935721968,1,159,-1.4094185364964087,1795
23,120,RM,44.0,4224,Noune,Reg,Lvl,Inside,Gtl,MeadowV,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,Noune,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,0,1060,1,0,1,0,3,1,TA,6,1,TA,Attchd,1976.0,Unf,2,572,TA,TA,Y,100,Noune,Noune,0,WD,Normal,11.774527900858468,1,110,0.9960367531343602,1060
