,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,SaleType,SaleCondition,SalePrice,count_of_porch,sum_of_area_porch
0,60,RL,65.0,8450,Reg,Lvl,Inside,CollgCr,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,PConc,Gd,TA,No,GLQ,706,0,150,856,Ex,Y,SBrkr,856,854,1710,1,0,2,1,3,1,Gd,8,0,Noune,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,WD,Normal,12.24769911637256,1,61
1,20,RL,80.0,9600,Reg,Lvl,FR2,Veenker,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,Noune,0.0,TA,CBlock,Gd,TA,Gd,ALQ,978,0,284,1262,Ex,Y,SBrkr,1262,0,1262,0,1,2,0,3,1,TA,6,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,WD,Normal,12.109016442313738,0,0
2,60,RL,68.0,11250,IR1,Lvl,Inside,CollgCr,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,PConc,Gd,TA,Mn,GLQ,486,0,434,920,Ex,Y,SBrkr,920,866,1786,1,0,2,1,3,1,Gd,6,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,WD,Normal,12.317171167298682,1,42
3,70,RL,60.0,9550,IR1,Lvl,Corner,Crawfor,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,Noune,0.0,TA,BrkTil,TA,Gd,No,ALQ,216,0,540,756,Gd,Y,SBrkr,961,756,1717,1,0,1,0,3,1,Gd,7,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,WD,Abnorml,11.849404844423074,2,307
4,60,RL,84.0,14260,IR1,Lvl,FR2,NoRidge,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,PConc,Gd,TA,Av,GLQ,655,0,490,1145,Ex,Y,SBrkr,1145,1053,2198,1,0,2,1,4,1,Gd,9,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,WD,Normal,12.429220196836383,1,84
5,50,RL,85.0,14115,IR1,Lvl,Inside,Mitchel,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,TA,Wood,Gd,TA,No,GLQ,732,0,64,796,Ex,Y,SBrkr,796,566,1362,1,0,1,1,1,1,TA,5,0,Noune,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,WD,Normal,11.870606902224587,2,350
6,20,RL,75.0,10084,Reg,Lvl,Inside,Somerst,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,PConc,Ex,TA,Av,GLQ,1369,0,317,1686,Ex,Y,SBrkr,1694,0,1694,1,0,2,0,3,1,Gd,7,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,WD,Normal,12.634606283893019,1,57
7,60,RL,81.28888888888889,10382,IR1,Lvl,Corner,NWAmes,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,CBlock,Gd,TA,Mn,ALQ,859,32,216,1107,Ex,Y,SBrkr,1107,983,2090,1,0,2,1,3,1,TA,7,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,WD,Normal,12.206077645517674,2,432
8,50,RM,51.0,6120,Reg,Lvl,Inside,OldTown,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,Noune,0.0,TA,BrkTil,TA,TA,No,Unf,0,0,952,952,Gd,Y,FuseF,1022,752,1774,0,0,2,0,2,2,TA,8,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,WD,Abnorml,11.774527900858468,1,205
9,190,RL,50.0,7420,Reg,Lvl,Corner,BrkSide,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,Noune,0.0,TA,BrkTil,TA,TA,No,GLQ,851,0,140,991,Ex,Y,SBrkr,1077,0,1077,1,0,1,0,2,2,TA,5,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,WD,Normal,11.678448377988165,1,4
10,20,RL,70.0,11200,Reg,Lvl,Inside,Sawyer,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,Noune,0.0,TA,CBlock,TA,TA,No,Rec,906,0,134,1040,Ex,Y,SBrkr,1040,0,1040,1,0,1,0,3,1,TA,5,0,Noune,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,WD,Normal,11.771443882099637,0,0
11,60,RL,85.0,11924,IR1,Lvl,Inside,NridgHt,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,PConc,Ex,TA,No,GLQ,998,0,177,1175,Ex,Y,SBrkr,1182,1142,2324,1,0,3,0,4,1,Ex,11,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,147,New,Partial,12.75130259456002,1,21
12,20,RL,74.4375,12968,IR2,Lvl,Inside,Sawyer,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,Noune,0.0,TA,CBlock,TA,TA,No,ALQ,737,0,175,912,TA,Y,SBrkr,912,0,912,1,0,1,0,2,1,TA,4,0,Noune,Detchd,1962.0,Unf,1,352,TA,TA,Y,140,WD,Normal,11.87757552297847,1,176
13,20,RL,91.0,10652,IR1,Lvl,Inside,CollgCr,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,PConc,Gd,TA,Av,Unf,0,0,1494,1494,Ex,Y,SBrkr,1494,0,1494,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,2006.0,RFn,3,840,TA,TA,Y,160,New,Partial,12.540761149388421,1,33
14,20,RL,76.46236559139786,10920,IR1,Lvl,Corner,NAmes,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,CBlock,TA,TA,No,BLQ,733,0,520,1253,TA,Y,SBrkr,1253,0,1253,1,0,1,1,2,1,TA,5,1,Fa,Attchd,1960.0,RFn,1,352,TA,TA,Y,0,WD,Normal,11.964007453736912,2,389
15,45,RM,51.0,6120,Reg,Lvl,Corner,BrkSide,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,Noune,0.0,TA,BrkTil,TA,TA,No,Unf,0,0,832,832,Ex,Y,FuseA,854,0,854,0,0,1,0,2,1,TA,5,0,Noune,Detchd,1991.0,Unf,2,576,TA,TA,Y,48,WD,Normal,11.790564777297387,1,112
16,20,RL,76.46236559139786,11241,IR1,Lvl,CulDSac,NAmes,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,CBlock,TA,TA,No,ALQ,578,0,426,1004,Ex,Y,SBrkr,1004,0,1004,1,0,1,0,2,1,TA,5,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,0,WD,Normal,11.91170829631447,0,0
17,90,RL,72.0,10791,Reg,Lvl,Inside,Sawyer,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,Noune,0.0,TA,Slab,Noune,Noune,Noune,Noune,0,0,0,0,TA,Y,SBrkr,1296,0,1296,0,0,2,0,2,2,TA,6,0,Noune,CarPort,1967.0,Unf,2,516,TA,TA,Y,0,WD,Normal,11.407576060361786,0,0
18,20,RL,66.0,13695,Reg,Lvl,Inside,SawyerW,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,TA,PConc,TA,TA,No,GLQ,646,0,468,1114,Ex,Y,SBrkr,1114,0,1114,1,0,1,1,3,1,Gd,6,0,Noune,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,WD,Normal,11.976665770490767,1,102
19,20,RL,70.0,7560,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,Noune,0.0,TA,CBlock,TA,TA,No,LwQ,504,0,525,1029,TA,Y,SBrkr,1339,0,1339,0,0,1,0,3,1,TA,6,0,Noune,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,COD,Abnorml,11.842236406331555,0,0
20,60,RL,101.0,14215,IR1,Lvl,Corner,NridgHt,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,PConc,Ex,TA,Av,Unf,0,0,1158,1158,Ex,Y,SBrkr,1158,1218,2376,0,0,3,1,4,1,Gd,9,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,240,New,Partial,12.692506186542177,1,154
